,date,type_objet,nombre_objets_perdus
254,2016-04-22 00:00:00+00:00,"Articles d'enfants, de puériculture",31
255,2016-04-22 00:00:00+00:00,"Articles de sport, loisirs, camping",17
256,2016-04-22 00:00:00+00:00,Articles médicaux,13
257,2016-04-22 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",530
258,2016-04-22 00:00:00+00:00,"Bijoux, montres",20
259,2016-04-22 00:00:00+00:00,"Clés, porte-clés, badge magnétique",94
260,2016-04-22 00:00:00+00:00,Divers,31
261,2016-04-22 00:00:00+00:00,Instruments de musique,6
262,2016-04-22 00:00:00+00:00,"Livres, articles de papéterie",49
263,2016-04-22 00:00:00+00:00,Optique,112
264,2016-04-22 00:00:00+00:00,Parapluies,21
265,2016-04-22 00:00:00+00:00,Pièces d'identités et papiers personnels,149
266,2016-04-22 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",214
267,2016-04-22 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",23
268,2016-04-22 00:00:00+00:00,"Vêtements, chaussures",230
269,2016-04-29 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",251
270,2016-04-29 00:00:00+00:00,"Articles d'enfants, de puériculture",30
271,2016-04-29 00:00:00+00:00,"Articles de sport, loisirs, camping",17
272,2016-04-29 00:00:00+00:00,Articles médicaux,14
273,2016-04-29 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",496
274,2016-04-29 00:00:00+00:00,"Bijoux, montres",25
275,2016-04-29 00:00:00+00:00,"Clés, porte-clés, badge magnétique",70
276,2016-04-29 00:00:00+00:00,Divers,35
277,2016-04-29 00:00:00+00:00,Instruments de musique,4
278,2016-04-29 00:00:00+00:00,"Livres, articles de papéterie",46
279,2016-04-29 00:00:00+00:00,Optique,93
280,2016-04-29 00:00:00+00:00,Parapluies,23
281,2016-04-29 00:00:00+00:00,Pièces d'identités et papiers personnels,143
282,2016-04-29 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",195
283,2016-04-29 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",15
284,2016-04-29 00:00:00+00:00,"Vêtements, chaussures",183
285,2016-05-06 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",265
286,2016-05-06 00:00:00+00:00,"Articles d'enfants, de puériculture",28
287,2016-05-06 00:00:00+00:00,"Articles de sport, loisirs, camping",19
288,2016-05-06 00:00:00+00:00,Articles médicaux,12
289,2016-05-06 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",506
290,2016-05-06 00:00:00+00:00,"Bijoux, montres",21
291,2016-05-06 00:00:00+00:00,"Clés, porte-clés, badge magnétique",109
292,2016-05-06 00:00:00+00:00,Divers,38
293,2016-05-06 00:00:00+00:00,Instruments de musique,4
294,2016-05-06 00:00:00+00:00,"Livres, articles de papéterie",43
295,2016-05-06 00:00:00+00:00,Optique,122
296,2016-05-06 00:00:00+00:00,Parapluies,17
297,2016-05-06 00:00:00+00:00,Pièces d'identités et papiers personnels,177
298,2016-05-06 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",217
299,2016-05-06 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",17
300,2016-05-06 00:00:00+00:00,"Vêtements, chaussures",276
301,2016-05-13 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",305
302,2016-05-13 00:00:00+00:00,"Articles d'enfants, de puériculture",24
303,2016-05-13 00:00:00+00:00,"Articles de sport, loisirs, camping",16
304,2016-05-13 00:00:00+00:00,Articles médicaux,15
305,2016-05-13 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",501
306,2016-05-13 00:00:00+00:00,"Bijoux, montres",21
307,2016-05-13 00:00:00+00:00,"Clés, porte-clés, badge magnétique",105
308,2016-05-13 00:00:00+00:00,Divers,33
309,2016-05-13 00:00:00+00:00,Instruments de musique,6
310,2016-05-13 00:00:00+00:00,"Livres, articles de papéterie",69
311,2016-05-13 00:00:00+00:00,Optique,167
312,2016-05-13 00:00:00+00:00,Parapluies,39
313,2016-05-13 00:00:00+00:00,Pièces d'identités et papiers personnels,166
314,2016-05-13 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",227
315,2016-05-13 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",18
